ID,Title,Description,Category,Price,Min_Price,Zip_Code,Photo_Paths,Status,Marketplace_URL,Notes
1,Hudsons Bay 6-Point Wool Blanket - Like New,"Classic Hudsons Bay 6-point wool blanket in excellent, like-new condition. Iconic multi-stripe design, heavy-duty warmth, and perfect for collectors, cabin decor, or everyday use.",Home Goods ; Bedding,250,175,18614,"https://mikethemerchant.github.io/marketplaceimages/1_1.jpg,https://mikethemerchant.github.io/marketplaceimages/1_2.jpg,https://mikethemerchant.github.io/marketplaceimages/1_3.jpg,https://mikethemerchant.github.io/marketplaceimages/1_4.jpg,https://mikethemerchant.github.io/marketplaceimages/1_5.jpg",Draft,,
2,Ben Pearson Fiberglass Breakdown Recurve Bow and arrows kit,"Vintage Ben Pearson fiberglass recurve bow in great condition. Perfect for collectors or archery enthusiasts. Lightweight, durable, and ready for target practice or display.  Including breakdown arrows arm guard and release.",Sports & Outdoors ; Archery Equipment,100,30,18614,"https://mikethemerchant.github.io/marketplaceimages/2_1.jpg,https://mikethemerchant.github.io/marketplaceimages/2_2.jpg,https://mikethemerchant.github.io/marketplaceimages/2_3.jpg,https://mikethemerchant.github.io/marketplaceimages/2_4.jpg,https://mikethemerchant.github.io/marketplaceimages/2_5.jpg,https://mikethemerchant.github.io/marketplaceimages/2_6.jpg,https://mikethemerchant.github.io/marketplaceimages/2_7.jpg,https://mikethemerchant.github.io/marketplaceimages/2_8.jpg,https://mikethemerchant.github.io/marketplaceimages/2_9.jpg,https://mikethemerchant.github.io/marketplaceimages/2_10.jpg,https://mikethemerchant.github.io/marketplaceimages/2_11.jpg,https://mikethemerchant.github.io/marketplaceimages/2_12.jpg,https://mikethemerchant.github.io/marketplaceimages/2_13.jpg,https://mikethemerchant.github.io/marketplaceimages/2_14.jpg,https://mikethemerchant.github.io/marketplaceimages/2_15.jpg,https://mikethemerchant.github.io/marketplaceimages/2_16.jpg,https://mikethemerchant.github.io/marketplaceimages/2_17.jpg,https://mikethemerchant.github.io/marketplaceimages/2_18.jpg",Draft,,
5,Trapper Pack full kit many traps and tools,"Foot hold traps, all in good. Strong, durable, and ready for use. Trapper backpack.  Digging tools.  Two books on trapping.",Sports & Outdoors ; Hunting Equipment ; Traps,50,30,18614,"https://mikethemerchant.github.io/marketplaceimages/5_1.jpg,https://mikethemerchant.github.io/marketplaceimages/5_2.jpg,https://mikethemerchant.github.io/marketplaceimages/5_3.jpg,https://mikethemerchant.github.io/marketplaceimages/5_4.jpg,https://mikethemerchant.github.io/marketplaceimages/5_5.jpg,https://mikethemerchant.github.io/marketplaceimages/5_6.jpg,https://mikethemerchant.github.io/marketplaceimages/5_7.jpg,https://mikethemerchant.github.io/marketplaceimages/5_8.jpg,https://mikethemerchant.github.io/marketplaceimages/5_9.jpg,https://mikethemerchant.github.io/marketplaceimages/5_10.jpg,https://mikethemerchant.github.io/marketplaceimages/5_11.jpg,https://mikethemerchant.github.io/marketplaceimages/5_12.jpg,https://mikethemerchant.github.io/marketplaceimages/5_13.jpg,https://mikethemerchant.github.io/marketplaceimages/5_14.jpg,https://mikethemerchant.github.io/marketplaceimages/5_15.jpg",Draft,,
7,Alpine German Military Oil-Filled Compass - Like New,"Precision Alpine German oil-filled compass in excellent condition. Rugged design, great for hiking, orienteering, and survival kits.",Camping & Hiking ; Navigation Gear,30,10,18614,"https://mikethemerchant.github.io/marketplaceimages/7_1.jpg,https://mikethemerchant.github.io/marketplaceimages/7_2.jpg,https://mikethemerchant.github.io/marketplaceimages/7_3.jpg,https://mikethemerchant.github.io/marketplaceimages/7_4.jpg,https://mikethemerchant.github.io/marketplaceimages/7_5.jpg,https://mikethemerchant.github.io/marketplaceimages/7_6.jpg,https://mikethemerchant.github.io/marketplaceimages/7_7.jpg",Draft,,
11,Pathfinder Tomahawk - Survival Axe / Bushcraft Tool,"Heavy-duty Pathfinder tomahawk in excellent condition. Rugged build for chopping, camping, and bushcraft.",Camping & Hiking ; Tools,225,175,18614,"https://mikethemerchant.github.io/marketplaceimages/11_1.jpg,https://mikethemerchant.github.io/marketplaceimages/11_2.jpg,https://mikethemerchant.github.io/marketplaceimages/11_3.jpg,https://mikethemerchant.github.io/marketplaceimages/11_4.jpg,https://mikethemerchant.github.io/marketplaceimages/11_5.jpg,https://mikethemerchant.github.io/marketplaceimages/11_6.jpg,https://mikethemerchant.github.io/marketplaceimages/11_7.jpg,https://mikethemerchant.github.io/marketplaceimages/11_8.jpg,https://mikethemerchant.github.io/marketplaceimages/11_9.jpg,https://mikethemerchant.github.io/marketplaceimages/11_10.jpg,https://mikethemerchant.github.io/marketplaceimages/11_11.jpg,https://mikethemerchant.github.io/marketplaceimages/11_12.jpg,https://mikethemerchant.github.io/marketplaceimages/11_13.jpg,https://mikethemerchant.github.io/marketplaceimages/11_14.jpg,https://mikethemerchant.github.io/marketplaceimages/11_15.jpg,https://mikethemerchant.github.io/marketplaceimages/11_16.jpg,https://mikethemerchant.github.io/marketplaceimages/11_17.jpg,https://mikethemerchant.github.io/marketplaceimages/11_18.jpg,https://mikethemerchant.github.io/marketplaceimages/11_19.jpg,https://mikethemerchant.github.io/marketplaceimages/11_20.jpg,https://mikethemerchant.github.io/marketplaceimages/11_21.jpg,https://mikethemerchant.github.io/marketplaceimages/11_22.jpg",Draft,,
12,Neoprene Fly Fishing Waders with Boots - Size 10.5,"Neoprene chest waders with dettached boots, excellent for fly fishing. Good, like-new condition.",Sports & Outdoors ; Fishing Gear ; Waders,75,20,18614,"https://mikethemerchant.github.io/marketplaceimages/12_1.jpg,https://mikethemerchant.github.io/marketplaceimages/12_2.jpg,https://mikethemerchant.github.io/marketplaceimages/12_3.jpg,https://mikethemerchant.github.io/marketplaceimages/12_4.jpg,https://mikethemerchant.github.io/marketplaceimages/12_5.jpg,https://mikethemerchant.github.io/marketplaceimages/12_6.jpg,https://mikethemerchant.github.io/marketplaceimages/12_7.jpg,https://mikethemerchant.github.io/marketplaceimages/12_8.jpg,https://mikethemerchant.github.io/marketplaceimages/12_9.jpg,https://mikethemerchant.github.io/marketplaceimages/12_10.jpg",Draft,,
13,Pathfinder Sling Bow - Survival Archery Tool,"Pathfinder sling bow in excellent, like-new condition. Compact and powerful design for hunting, fishing, or survival.",Sports & Outdoors ; Archery Equipment,150,80,18614,"https://mikethemerchant.github.io/marketplaceimages/13_1.jpg,https://mikethemerchant.github.io/marketplaceimages/13_2.jpg,https://mikethemerchant.github.io/marketplaceimages/13_3.jpg,https://mikethemerchant.github.io/marketplaceimages/13_4.jpg,https://mikethemerchant.github.io/marketplaceimages/13_5.jpg,https://mikethemerchant.github.io/marketplaceimages/13_6.jpg,https://mikethemerchant.github.io/marketplaceimages/13_7.jpg,https://mikethemerchant.github.io/marketplaceimages/13_8.jpg",Draft,,
14,"Crusader Canteen Set - Canteen, Nesting Cup, Lid & Stove","Complete Crusader canteen kit including bottle, nesting cup, lid, and stove. Durable, military-style survival set.",Camping & Hiking ; Cooking Gear,45,25,18614,"https://mikethemerchant.github.io/marketplaceimages/14_1.jpg,https://mikethemerchant.github.io/marketplaceimages/14_2.jpg,https://mikethemerchant.github.io/marketplaceimages/14_3.jpg,https://mikethemerchant.github.io/marketplaceimages/14_4.jpg,https://mikethemerchant.github.io/marketplaceimages/14_5.jpg,https://mikethemerchant.github.io/marketplaceimages/14_6.jpg,https://mikethemerchant.github.io/marketplaceimages/14_7.jpg,https://mikethemerchant.github.io/marketplaceimages/14_8.jpg,https://mikethemerchant.github.io/marketplaceimages/14_9.jpg,https://mikethemerchant.github.io/marketplaceimages/14_10.jpg,https://mikethemerchant.github.io/marketplaceimages/14_11.jpg",Draft,,
16,Leather Shoulder Holster - Fits 1911 .45 Pistol,"Classic leather shoulder holster designed to fit standard 1911 .45 pistols. Adjustable straps, durable leather, lightly used.",Sporting Goods ; Hunting ; Holsters,100,30,18614,"https://mikethemerchant.github.io/marketplaceimages/16_1.jpg,https://mikethemerchant.github.io/marketplaceimages/16_2.jpg,https://mikethemerchant.github.io/marketplaceimages/16_3.jpg,https://mikethemerchant.github.io/marketplaceimages/16_4.jpg,https://mikethemerchant.github.io/marketplaceimages/16_5.jpg,https://mikethemerchant.github.io/marketplaceimages/16_6.jpg,https://mikethemerchant.github.io/marketplaceimages/16_7.jpg,https://mikethemerchant.github.io/marketplaceimages/16_8.jpg",Draft,,
17,Brad / Finish Nail Gun - Air ,"Brad and finish nail gun in excellent condition. Great for woodworking, trim, and light construction.",Tools ; Power Tools ; Nail Guns,50,10,18614,"https://mikethemerchant.github.io/marketplaceimages/17_1.jpg,https://mikethemerchant.github.io/marketplaceimages/17_2.jpg,https://mikethemerchant.github.io/marketplaceimages/17_3.jpg,https://mikethemerchant.github.io/marketplaceimages/17_4.jpg,https://mikethemerchant.github.io/marketplaceimages/17_5.jpg,https://mikethemerchant.github.io/marketplaceimages/17_6.jpg,https://mikethemerchant.github.io/marketplaceimages/17_7.jpg,https://mikethemerchant.github.io/marketplaceimages/17_8.jpg,https://mikethemerchant.github.io/marketplaceimages/17_9.jpg,https://mikethemerchant.github.io/marketplaceimages/17_10.jpg,https://mikethemerchant.github.io/marketplaceimages/17_11.jpg,https://mikethemerchant.github.io/marketplaceimages/17_12.jpg,https://mikethemerchant.github.io/marketplaceimages/17_13.jpg,https://mikethemerchant.github.io/marketplaceimages/17_14.jpg",Draft,,
